Galaxy,n_points,log10_rho_s_Msun_kpc3,log10_r_s_kpc,rho_s_Msun_kpc3,r_s_kpc,rss,rms_km_s
F568-1,12,6.526742959923795,1.3981358757526607,3363124.6169351866,25.011277558403037,923.9074012690595,8.77452468451074
F568-3,18,5.3872872817996225,2.0339873670110755,243942.39412452985,108.14024944293834,1053.0776623256309,7.648811317691537
F568-V1,15,6.949729663102578,1.0390184738215957,8906963.30487911,10.940029014813232,739.7746140863205,7.0226994528994835
F571-8,13,4.559554260312216,2.9999999999999996,36270.559948396745,999.999999999999,12853.584513760978,31.44419295019839
F571-V1,7,5.296028017920024,1.9967647634024281,197709.7185743541,99.25782705035927,119.47937194635364,4.131401905724248
F574-1,14,6.398061767958251,1.25395694290223,2500701.0010555494,17.945557010381307,384.94420430048746,5.243664233424177
F574-2,5,4.000000000001111,-1.9999999999992535,10000.000000025584,0.01000000000001719,185.5056196013274,6.091069193521403
F579-V1,14,7.728433836508637,0.5329830196338736,53509862.68538709,3.411795716704875,226.57023696509137,4.022883089856003
F583-1,25,5.9766726306579026,1.4809690464943341,947703.8188597165,30.26697698344159,1145.3689427204445,6.768659964041463
F583-4,12,4.189104748709466,2.999999999999578,15456.271887599663,999.9999999990285,23.99936294596304,1.4141947928639769
IC2574,34,4.000000000000001,2.963167036349058,10000.00000000002,918.6858692819665,676.2875808611492,4.4599115688316635
IC4202,32,4.2783531348265615,2.9999999999999996,18982.48803587685,999.999999999999,31119.028870333226,31.184445677258932
KK98-251,15,4.000000000000002,2.8640958963370124,10000.00000000004,731.3005437467033,90.60137326756283,2.457659771239879
NGC0024,29,7.300794550418332,0.8069959785146938,19989160.28429077,6.412036391324443,710.3896771933481,4.949363167649739
NGC0055,21,4.139103472388953,2.999999999999868,13775.37633623397,999.9999999996963,445.42043463848074,4.605485521369784
NGC0100,21,4.342755267197368,2.9999999999996327,22016.854238185893,999.9999999991544,622.7792291126909,5.445746392118439
